campaign_id,date,geo,city,profession,price_range,language,channel,campaign_type,impressions,clicks,conversions,spend_usd,revenue_usd,roi,quality_score
MC-10099,2024-04-01,FR,Nice,Sales Rep,budget,French,social_media,retention,15530,315,3,1059.3,331.39,0.3128,6.0
MC-10916,2024-04-01,DE,Frankfurt,Product Manager,mid,German,display,acquisition,157725,1859,26,4302.48,19733.04,4.5864,2.0
MC-10879,2024-04-01,IN,Pune,HR Manager,mid,Hindi,email,acquisition,33515,1173,73,1902.44,36041.5,18.9449,1.0
MC-12683,2024-04-01,FR,Marseille,Data Scientist,budget,French,social_media,acquisition,19422,280,13,754.56,2775.71,3.6786,2.0
MC-12684,2024-04-01,IN,Hyderabad,Writer,premium,Hindi,search,awareness,6634,467,24,3093.18,56057.1,18.1228,7.0
MC-11223,2024-04-01,US,Los Angeles,Researcher,mid,English,search,retention,39358,3085,214,943.82,142645.66,151.1365,8.0
MC-12697,2024-04-01,JP,Nagoya,Data Scientist,mid,Japanese,search,retention,70924,5792,462,170.67,431990.37,2531.1441,8.0
MC-10034,2024-04-01,US,Los Angeles,Teacher,mid,English,email,acquisition,35958,1016,39,1396.51,22475.28,16.0939,8.0
MC-12700,2024-04-01,US,San Francisco,Marketing Manager,budget,English,search,acquisition,42412,4106,233,1185.38,38610.19,32.572,
MC-11139,2024-04-01,US,Los Angeles,Software Engineer,mid,English,social_media,re_engagement,16882,251,13,1908.29,14377.64,7.5343,7.0
MC-12055,2024-04-01,IN,Hyderabad,Teacher,budget,Hindi,search,awareness,45733,4424,50,686.31,5066.5,7.3822,1.0
MC-10575,2024-04-01,DE,Munich,Physician,budget,German,display,acquisition,175485,1585,41,771.93,9284.33,12.0274,10.0
MC-10949,2024-04-01,US,New York,Marketing Manager,mid,English,search,awareness,27782,2457,93,889.26,74698.39,84.0006,3.0
MC-11475,2024-04-01,GB,Glasgow,Researcher,budget,English,social_media,retention,7022,166,10,3210.15,1539.64,0.4796,5.0
